Denominazione EN;Codice AT
Italy;n.d.
Albania;Z100
Andorra;Z101
Austria;Z102
Belgium;Z103
Bulgaria;Z104
Denmark;Z107
Finland;Z109
France;Z110
Germany;Z112
United Kingdom;Z114
Greece;Z115
Ireland;Z116
Iceland;Z117
Liechtenstein;Z119
Luxembourg;Z120
Malta;Z121
Monaco;Z123
Norway;Z125
Netherlands;Z126
Poland;Z127
Portugal;Z128
Romania;Z129
San Marino;Z130
Spain;Z131
Sweden;Z132
Switzerland;Z133
Ukraine;Z138
Hungary;Z134
Russian Federation;Z154
Vatican City State;Z106
Estonia;Z144
Latvia;Z145
Lithuania;Z146
Croatia;Z149
Slovenia;Z150
Bosnia and Herzegovina;Z153
North Macedonia;Z148
Moldova;Z140
Slovakia;Z155
Belarus;Z139
Czech Republic;Z156
Montenegro;Z159
Serbia;Z158
Kosovo;Z160
Afghanistan;Z200
Saudi Arabia;Z203
Bahrain;Z204
Bangladesh;Z249
Bhutan;Z205
Myanmar_Burma;Z206
Brunei Darussalam;Z207
Cambodia;Z208
Sri Lanka;Z209
China;Z210
Cyprus;Z211
North Korea;Z214
South Korea;Z213
United Arab Emirates;Z215
Philippines;Z216
Palestine;Z161
Japan;Z219
Jordan;Z220
India;Z222
Indonesia;Z223
Iran;Z224
Iraq;Z225
Israel;Z226
Kuwait;Z227
Laos;Z228
Lebanon;Z229
Timor Leste;Z242
Maldives;Z232
Malaysia;Z247
Mongolia;Z233
Nepal;Z234
Oman;Z235
Pakistan;Z236
Qatar;Z237
Singapore;Z248
Syria;Z240
Thailand;Z241
Turkey;Z243
Vietnam;Z251
Yemen;Z246
Kazakhstan;Z255
Uzbekistan;Z259
Armenia;Z252
Azerbaijan;Z253
Georgia;Z254
Kyrgyzstan;Z256
Tajikistan;Z257
Taiwan;Z217
Turkmenistan;Z258
Algeria;Z301
Angola;Z302
Cote d'Ivoire;Z313
Benin;Z314
Botswana;Z358
Burkina Faso;Z354
Burundi;Z305
Cameroon;Z306
Cape Verde;Z307
Central African Republic;Z308
Chad;Z309
Comoros;Z310
Congo;Z311
Egypt;Z336
Ethiopia;Z315
Gabon;Z316
Gambia;Z317
Ghana;Z318
Djibouti;Z361
Guinea;Z319
Guinea-Bissau;Z320
Equatorial Guinea;Z321
Kenya;Z322
Lesotho;Z359
Liberia;Z325
Libya;Z326
Madagascar;Z327
Malawi;Z328
Mali;Z329
Morocco;Z330
Mauritania;Z331
Mauritius;Z332
Mozambique;Z333
Namibia;Z300
Niger;Z334
Nigeria;Z335
Rwanda;Z338
Sao Tome and Principe;Z341
Seychelles;Z342
Senegal;Z343
Sierra Leone;Z344
Somalia;Z345
South Africa;Z347
Sudan;Z348
Eswatini;Z349
Tanzania;Z357
Togo;Z351
Tunisia;Z352
Uganda;Z353
Democratic Republic of the Congo;Z312
Zambia;Z355
Zimbabwe;Z337
Eritrea;Z368
South Sudan;Z907
Antigua and Barbuda;Z532
Bahamas;Z502
Barbados;Z522
Belize;Z512
Canada;Z401
Costa Rica;Z503
Cuba;Z504
Dominica;Z526
Dominican Republic;Z505
El Salvador;Z506
Jamaica;Z507
Grenada;Z524
Guatemala;Z509
Haiti;Z510
Honduras;Z511
Mexico;Z514
Nicaragua;Z515
Panama;Z516
Saint Lucia;Z527
Saint Vincent and the Grenadines;Z528
Saint Kitts and Nevis;Z533
United States of America;Z404
Argentina;Z600
Bolivia;Z601
Brazil;Z602
Chile;Z603
Colombia;Z604
Ecuador;Z605
Guyana;Z606
Paraguay;Z610
Peru;Z611
Suriname;Z608
Trinidad and Tobago;Z612
Uruguay;Z613
Venezuela;Z614
Australia;Z700
Fiji;Z704
Kiribati;Z731
Marshall Islands;Z711
Federated States of Micronesia;Z735
Nauru;Z713
New Zealand;Z719
Palau;Z734
Papua New Guinea;Z730
Solomon Islands;Z724
Samoa;Z726
Tonga;Z728
Tuvalu;Z732
Vanuatu;Z733
New Caledonia;Z716
Saint Martin (FR);n.d.
Western Sahara;Z339
Saint Barthelemy;n.d.
Bermuda;Z400
Cook Islands (NZ);Z703
Gibraltar;Z113
Cayman Islands;Z530
Anguilla;Z529
French Polynesia;Z723
Faroe Islands;Z108
Jersey;n.d.
Aruba;Z501
St Maarten (NL);n.d.
Greenland;Z402
Sark;n.d.
Guernsey;n.d.
Falkland Islands (Malvinas);Z609
Isle of Man;Z122
Montserrat;Z531
Curacao;n.d.
Pitcairn;Z722
Saint Pierre and Miquelon;Z403
Saint Helena;Z340
French Southern Territories;n.d.
Turks and Caicos Islands;Z519
British Virgin Islands;Z525
Wallis and Futuna Islands;Z729
